# blastn
# Iteration: 0
# Query: OTU259
# RID: 8J615DJN015
# Database: nr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 103 hits found
OTU259	EU617241.1	94.249	313	17	1	1	313	682	371	4.59e-133	480
OTU259	MG891795.1	98.077	52	1	0	1	52	686	635	2.91e-15	90.6
OTU259	MG891795.1	91.228	57	5	0	257	313	427	371	1.51e-12	81.5
OTU259	LN864523.1	91.228	57	5	0	257	313	264	208	1.51e-12	81.5
OTU259	MG572361.1	89.474	57	6	0	257	313	447	391	1.84e-11	77.0
OTU259	KP418788.1	92.308	52	4	0	1	52	641	590	1.84e-11	77.0
OTU259	MH001946.1	91.667	48	4	0	1	48	637	590	2.73e-09	69.8
OTU259	GQ121300.1	90.385	52	3	1	1	52	693	644	2.73e-09	69.8
OTU259	MK049963.1	85.965	57	8	0	257	313	414	358	9.52e-09	68.0
OTU259	MK049963.1	84.211	38	6	0	1	38	690	653	0.38	42.8
OTU259	MF035961.1	89.583	48	5	0	1	48	619	572	1.16e-07	65.3
OTU259	KJ512160.1	97.368	38	1	0	1	38	669	632	1.16e-07	65.3
OTU259	KJ512159.1	97.368	38	1	0	1	38	668	631	1.16e-07	65.3
OTU259	KJ512146.1	97.368	38	1	0	1	38	671	634	1.16e-07	65.3
OTU259	KJ512146.1	85.455	55	8	0	259	313	443	389	1.16e-07	64.4
OTU259	KT067745.1	91.489	47	3	1	1	46	644	598	1.16e-07	64.4
OTU259	KJ670286.1	97.222	36	1	0	1	36	380	345	1.41e-06	61.7
OTU259	KJ670288.1	90.476	42	4	0	1	42	425	384	4.93e-06	59.0
OTU259	KF741596.1	87.234	47	2	2	4	48	810	766	2.10e-04	53.6
OTU259	MH873506.1	84.783	46	7	0	1	46	49	4	7.32e-04	52.7
OTU259	MH873503.1	84.783	46	7	0	1	46	49	4	7.32e-04	52.7
OTU259	MH862035.1	84.783	46	7	0	1	46	677	632	7.32e-04	52.7
OTU259	MH861811.1	84.783	46	7	0	1	46	695	650	7.32e-04	52.7
OTU259	KC589017.1	84.783	46	7	0	1	46	695	650	7.32e-04	52.7
OTU259	AB470241.1	84.783	46	7	0	1	46	676	631	7.32e-04	52.7
OTU259	MK503439.1	80.702	57	10	1	257	313	158	103	0.003	50.9
OTU259	MH873502.1	82.609	46	8	0	1	46	49	4	0.003	50.0
OTU259	MH862030.1	85.714	42	6	0	1	42	744	703	0.003	50.0
OTU259	MH861394.1	84.091	44	7	0	1	44	627	584	0.009	49.1
OTU259	MH861393.1	84.091	44	7	0	1	44	619	576	0.009	49.1
OTU259	MH500245.1	81.132	53	8	1	261	313	71	21	0.009	49.1
OTU259	KP814402.1	80.357	56	10	1	1	56	790	736	0.009	49.1
OTU259	KC514822.1	80.357	56	10	1	1	56	619	565	0.009	49.1
OTU259	MK532847.1	88.889	36	4	0	1	36	657	622	0.009	48.2
OTU259	MH979286.1	88.889	36	4	0	1	36	686	651	0.009	48.2
OTU259	MH910543.1	88.889	36	4	0	1	36	701	666	0.009	48.2
OTU259	MH873741.1	88.889	36	4	0	1	36	38	3	0.009	48.2
OTU259	MH873717.1	88.889	36	4	0	1	36	134	99	0.009	48.2
OTU259	MH873504.1	82.609	46	8	0	1	46	49	4	0.009	48.2
OTU259	MH873180.1	88.889	36	4	0	1	36	199	164	0.009	48.2
OTU259	MH873178.1	88.889	36	4	0	1	36	744	709	0.009	48.2
OTU259	MH864083.1	88.889	36	4	0	1	36	759	724	0.009	48.2
OTU259	MH862053.1	88.889	36	4	0	1	36	625	590	0.009	48.2
OTU259	MH862044.1	88.889	36	4	0	1	36	831	796	0.009	48.2
OTU259	MH862043.1	88.889	36	4	0	1	36	829	794	0.009	48.2
OTU259	MH862042.1	88.889	36	4	0	1	36	832	797	0.009	48.2
OTU259	MH862041.1	88.889	36	4	0	1	36	807	772	0.009	48.2
OTU259	MH862036.1	82.609	46	8	0	1	46	671	626	0.009	48.2
